Date,Balance
10/4/17,"-$48,721.40"
10/5/17,"-$48,721.40"
10/6/17,"-$48,721.40"
10/7/17,"-$48,721.40"
10/8/17,"-$48,721.40"
10/9/17,"-$48,721.40"
10/10/17,"-$48,721.40"
10/11/17,"-$48,721.40"
10/12/17,"-$48,721.40"
10/13/17,"-$47,523.49"
10/14/17,"-$47,523.49"
10/15/17,"-$47,523.49"
10/16/17,"-$47,523.49"
10/17/17,"-$47,523.49"
10/18/17,"-$47,523.49"
10/19/17,"-$47,523.49"
10/20/17,"-$47,372.55"
10/21/17,"-$47,372.55"
10/22/17,"-$47,372.55"
10/23/17,"-$47,372.55"
10/24/17,"-$47,372.55"
10/25/17,"-$47,383.32"
10/26/17,"-$47,383.32"
10/27/17,"-$46,185.41"
10/28/17,"-$46,185.41"
10/29/17,"-$46,185.41"
10/30/17,"-$46,192.41"
10/31/17,"-$46,192.41"
11/1/17,"-$46,697.41"
11/2/17,"-$46,697.41"
11/3/17,"-$46,545.64"
11/4/17,"-$46,545.64"
11/5/17,"-$46,545.64"
11/6/17,"-$46,545.64"
11/7/17,"-$46,545.64"
11/8/17,"-$46,545.64"
11/9/17,"-$46,545.64"
11/10/17,"-$45,347.73"
11/11/17,"-$45,347.73"
11/12/17,"-$45,347.73"
11/13/17,"-$45,347.73"
11/14/17,"-$45,347.73"
11/15/17,"-$45,347.73"
11/16/17,"-$45,347.73"
11/17/17,"-$45,195.14"
11/18/17,"-$45,195.14"
11/19/17,"-$45,195.14"
11/20/17,"-$45,195.14"
11/21/17,"-$45,195.14"
11/22/17,"-$45,195.14"
11/23/17,"-$45,195.14"
11/24/17,"-$43,997.23"
11/25/17,"-$44,008.00"
11/26/17,"-$44,008.00"
11/27/17,"-$44,008.00"
11/28/17,"-$44,008.00"
11/29/17,"-$44,008.00"
11/30/17,"-$44,015.00"
12/1/17,"-$44,366.57"
12/2/17,"-$44,366.57"
12/3/17,"-$44,366.57"
12/4/17,"-$44,366.57"
12/5/17,"-$44,366.57"
12/6/17,"-$44,366.57"
12/7/17,"-$44,366.57"
12/8/17,"-$43,168.66"
12/9/17,"-$43,168.66"
12/10/17,"-$43,168.66"
12/11/17,"-$43,168.66"
12/12/17,"-$43,168.66"
12/13/17,"-$43,168.66"
12/14/17,"-$43,168.66"
12/15/17,"-$43,014.40"
12/16/17,"-$43,014.40"
12/17/17,"-$43,014.40"
12/18/17,"-$43,014.40"
12/19/17,"-$43,014.40"
12/20/17,"-$43,014.40"
12/21/17,"-$43,014.40"
12/22/17,"-$41,816.49"
12/23/17,"-$41,816.49"
12/24/17,"-$41,816.49"
12/25/17,"-$41,827.26"
12/26/17,"-$41,827.26"
12/27/17,"-$41,827.26"
12/28/17,"-$41,827.26"
12/29/17,"-$41,672.17"
12/30/17,"-$41,679.17"
12/31/17,"-$41,679.17"
1/1/18,"-$41,684.17"
1/2/18,"-$41,684.17"
1/3/18,"-$41,684.17"
1/4/18,"-$41,684.17"
1/5/18,"-$40,486.26"
1/6/18,"-$40,486.26"
1/7/18,"-$40,486.26"
1/8/18,"-$40,486.26"
1/9/18,"-$40,486.26"
1/10/18,"-$40,486.26"
1/11/18,"-$40,486.26"
1/12/18,"-$40,330.33"
1/13/18,"-$40,330.33"
1/14/18,"-$40,330.33"
1/15/18,"-$40,330.33"
1/16/18,"-$40,330.33"
1/17/18,"-$40,330.33"
1/18/18,"-$40,330.33"
1/19/18,"-$39,132.42"
1/20/18,"-$39,132.42"
1/21/18,"-$39,132.42"
1/22/18,"-$39,132.42"
1/23/18,"-$39,132.42"
1/24/18,"-$39,132.42"
1/25/18,"-$39,143.19"
1/26/18,"-$38,986.43"
1/27/18,"-$38,986.43"
1/28/18,"-$38,986.43"
1/29/18,"-$38,986.43"
1/30/18,"-$38,993.43"
1/31/18,"-$38,993.43"
2/1/18,"-$38,998.43"
2/2/18,"-$37,800.52"
2/3/18,"-$37,800.52"
2/4/18,"-$37,800.52"
2/5/18,"-$37,800.52"
2/6/18,"-$37,800.52"
2/7/18,"-$37,800.52"
2/8/18,"-$37,800.52"
2/9/18,"-$37,642.91"
2/10/18,"-$37,642.91"
2/11/18,"-$37,642.91"
2/12/18,"-$37,642.91"
2/13/18,"-$37,642.91"
2/14/18,"-$37,642.91"
2/15/18,"-$37,642.91"
2/16/18,"-$36,445.00"
2/17/18,"-$36,445.00"
2/18/18,"-$36,445.00"
2/19/18,"-$36,445.00"
2/20/18,"-$36,445.00"
2/21/18,"-$36,445.00"
2/22/18,"-$36,445.00"
2/23/18,"-$36,286.55"
2/24/18,"-$36,286.55"
2/25/18,"-$36,297.32"
2/26/18,"-$36,297.32"
2/27/18,"-$36,297.32"
2/28/18,"-$36,304.32"
3/1/18,"-$36,309.32"
3/2/18,"-$35,111.41"
3/3/18,"-$35,111.41"
3/4/18,"-$35,111.41"
3/5/18,"-$35,111.41"
3/6/18,"-$35,111.41"
3/7/18,"-$35,111.41"
3/8/18,"-$35,111.41"
3/9/18,"-$34,952.12"
3/10/18,"-$34,952.12"
3/11/18,"-$34,952.12"
3/12/18,"-$34,952.12"
3/13/18,"-$34,952.12"
3/14/18,"-$34,952.12"
3/15/18,"-$34,952.12"
3/16/18,"-$33,754.21"
3/17/18,"-$33,754.21"
3/18/18,"-$33,754.21"
3/19/18,"-$33,754.21"
3/20/18,"-$33,754.21"
3/21/18,"-$33,754.21"
3/22/18,"-$33,754.21"
3/23/18,"-$33,594.07"
3/24/18,"-$33,594.07"
3/25/18,"-$33,604.84"
3/26/18,"-$33,604.84"
3/27/18,"-$33,604.84"
3/28/18,"-$33,611.84"
3/29/18,"-$33,611.84"
3/30/18,"-$32,413.93"
3/31/18,"-$32,413.93"
4/1/18,"-$32,418.93"
4/2/18,"-$32,418.93"
4/3/18,"-$32,418.93"
