Date,Balance
8/18/17,"-$48,998.45"
8/19/17,"-$48,998.45"
8/20/17,"-$48,998.45"
8/21/17,"-$48,998.45"
8/22/17,"-$48,932.25"
8/23/17,"-$48,932.25"
8/24/17,"-$48,932.25"
8/25/17,"-$48,943.02"
8/26/17,"-$48,943.02"
8/27/17,"-$48,943.02"
8/28/17,"-$48,943.02"
8/29/17,"-$48,943.02"
8/30/17,"-$48,943.01"
8/31/17,"-$48,950.01"
9/1/17,"-$48,087.78"
9/2/17,"-$48,087.78"
9/3/17,"-$48,087.78"
9/4/17,"-$48,087.78"
9/5/17,"-$48,087.78"
9/6/17,"-$48,114.88"
9/7/17,"-$48,114.88"
9/8/17,"-$48,232.39"
9/9/17,"-$48,232.39"
9/10/17,"-$48,232.39"
9/11/17,"-$48,232.39"
9/12/17,"-$48,232.39"
9/13/17,"-$48,232.39"
9/14/17,"-$48,232.39"
9/15/17,"-$47,365.16"
9/16/17,"-$47,365.16"
9/17/17,"-$47,365.16"
9/18/17,"-$47,365.16"
9/19/17,"-$47,365.16"
9/20/17,"-$47,365.16"
9/21/17,"-$47,365.16"
9/22/17,"-$47,297.92"
9/23/17,"-$47,297.92"
9/24/17,"-$47,297.92"
9/25/17,"-$47,308.69"
9/26/17,"-$47,308.69"
9/27/17,"-$47,308.69"
9/28/17,"-$47,308.69"
9/29/17,"-$46,441.46"
9/30/17,"-$46,448.45"
10/1/17,"-$46,453.45"
10/2/17,"-$46,453.45"
10/3/17,"-$46,453.45"
10/4/17,"-$46,453.45"
10/5/17,"-$46,453.45"
10/6/17,"-$46,480.55"
10/7/17,"-$46,480.55"
10/8/17,"-$46,597.20"
10/9/17,"-$46,597.20"
10/10/17,"-$46,597.20"
10/11/17,"-$46,597.20"
10/12/17,"-$46,597.20"
10/13/17,"-$45,729.97"
10/14/17,"-$45,729.97"
10/15/17,"-$45,729.97"
10/16/17,"-$45,729.97"
10/17/17,"-$45,729.97"
10/18/17,"-$45,729.97"
10/19/17,"-$45,729.97"
10/20/17,"-$45,729.97"
10/21/17,"-$45,729.97"
10/22/17,"-$45,661.67"
10/23/17,"-$45,661.67"
10/24/17,"-$45,661.67"
10/25/17,"-$45,672.44"
10/26/17,"-$45,672.44"
10/27/17,"-$44,805.21"
10/28/17,"-$44,805.21"
10/29/17,"-$44,805.21"
10/30/17,"-$44,812.20"
10/31/17,"-$44,812.20"
11/1/17,"-$44,317.20"
11/2/17,"-$44,317.20"
11/3/17,"-$44,317.20"
11/4/17,"-$44,317.20"
11/5/17,"-$44,317.20"
11/6/17,"-$44,344.30"
11/7/17,"-$44,344.30"
11/8/17,"-$44,460.08"
11/9/17,"-$44,460.08"
11/10/17,"-$43,592.85"
11/11/17,"-$43,592.85"
11/12/17,"-$43,592.85"
11/13/17,"-$43,592.85"
11/14/17,"-$43,592.85"
11/15/17,"-$43,592.85"
11/16/17,"-$43,592.85"
11/17/17,"-$43,592.85"
11/18/17,"-$43,592.85"
11/19/17,"-$43,592.85"
11/20/17,"-$43,592.85"
11/21/17,"-$43,592.85"
11/22/17,"-$43,523.50"
11/23/17,"-$43,523.50"
11/24/17,"-$42,656.27"
11/25/17,"-$42,667.04"
11/26/17,"-$42,667.04"
11/27/17,"-$42,667.04"
11/28/17,"-$42,667.04"
11/29/17,"-$42,667.04"
11/30/17,"-$42,674.03"
12/1/17,"-$42,679.03"
12/2/17,"-$42,679.03"
12/3/17,"-$42,679.03"
12/4/17,"-$42,679.03"
12/5/17,"-$42,679.03"
12/6/17,"-$42,706.13"
12/7/17,"-$42,706.13"
12/8/17,"-$41,953.81"
12/9/17,"-$41,953.81"
12/10/17,"-$41,953.81"
12/11/17,"-$41,953.81"
12/12/17,"-$41,953.81"
12/13/17,"-$41,953.81"
12/14/17,"-$41,953.81"
12/15/17,"-$41,953.81"
12/16/17,"-$41,953.81"
12/17/17,"-$41,953.81"
12/18/17,"-$41,953.81"
12/19/17,"-$41,953.81"
12/20/17,"-$41,953.81"
12/21/17,"-$41,953.81"
12/22/17,"-$41,016.16"
12/23/17,"-$41,016.16"
12/24/17,"-$41,016.16"
12/25/17,"-$41,026.93"
12/26/17,"-$41,026.93"
12/27/17,"-$41,026.93"
12/28/17,"-$41,026.93"
12/29/17,"-$41,026.93"
12/30/17,"-$41,033.92"
12/31/17,"-$41,033.92"
1/1/18,"-$41,038.92"
1/2/18,"-$41,038.92"
1/3/18,"-$41,038.92"
1/4/18,"-$41,038.92"
1/5/18,"-$40,171.69"
1/6/18,"-$40,198.79"
1/7/18,"-$40,198.79"
1/8/18,"-$40,312.82"
1/9/18,"-$40,312.82"
1/10/18,"-$40,312.82"
1/11/18,"-$40,312.82"
1/12/18,"-$40,312.82"
1/13/18,"-$40,312.82"
1/14/18,"-$40,312.82"
1/15/18,"-$40,312.82"
1/16/18,"-$40,312.82"
1/17/18,"-$40,312.82"
1/18/18,"-$40,312.82"
1/19/18,"-$39,445.59"
1/20/18,"-$39,445.59"
1/21/18,"-$39,445.59"
1/22/18,"-$39,374.11"
1/23/18,"-$39,374.11"
1/24/18,"-$39,374.11"
1/25/18,"-$39,384.88"
1/26/18,"-$39,384.88"
1/27/18,"-$39,384.88"
1/28/18,"-$39,384.88"
1/29/18,"-$39,384.88"
1/30/18,"-$39,391.87"
1/31/18,"-$39,391.87"
2/1/18,"-$39,396.87"
2/2/18,"-$38,529.64"
2/3/18,"-$38,529.64"
2/4/18,"-$38,529.64"
2/5/18,"-$38,529.64"
2/6/18,"-$38,556.74"
2/7/18,"-$38,556.74"
2/8/18,"-$38,669.90"
2/9/18,"-$38,669.90"
2/10/18,"-$38,669.90"
2/11/18,"-$38,669.90"
2/12/18,"-$38,669.90"
2/13/18,"-$38,669.90"
2/14/18,"-$38,669.90"
2/15/18,"-$38,669.90"
2/16/18,"-$37,802.67"
2/17/18,"-$37,802.67"
