Date,Balance
8/21/17,"-$49,012.14"
8/22/17,"-$48,970.94"
8/23/17,"-$48,970.94"
8/24/17,"-$48,970.94"
8/25/17,"-$48,981.71"
8/26/17,"-$48,981.71"
8/27/17,"-$48,981.71"
8/28/17,"-$48,981.71"
8/29/17,"-$48,981.71"
8/30/17,"-$48,981.70"
8/31/17,"-$48,988.70"
9/1/17,"-$48,126.47"
9/2/17,"-$48,126.47"
9/3/17,"-$48,126.47"
9/4/17,"-$48,126.47"
9/5/17,"-$48,126.47"
9/6/17,"-$48,153.57"
9/7/17,"-$48,153.57"
9/8/17,"-$48,271.08"
9/9/17,"-$48,271.08"
9/10/17,"-$48,271.08"
9/11/17,"-$48,271.08"
9/12/17,"-$48,271.08"
9/13/17,"-$48,271.08"
9/14/17,"-$48,271.08"
9/15/17,"-$47,403.85"
9/16/17,"-$47,403.85"
9/17/17,"-$47,403.85"
9/18/17,"-$47,403.85"
9/19/17,"-$47,403.85"
9/20/17,"-$47,403.85"
9/21/17,"-$47,403.85"
9/22/17,"-$47,361.61"
9/23/17,"-$47,361.61"
9/24/17,"-$47,361.61"
9/25/17,"-$47,372.38"
9/26/17,"-$47,372.38"
9/27/17,"-$47,372.38"
9/28/17,"-$47,372.38"
9/29/17,"-$46,505.15"
9/30/17,"-$46,512.14"
10/1/17,"-$46,517.14"
10/2/17,"-$46,517.14"
10/3/17,"-$46,517.14"
10/4/17,"-$46,517.14"
10/5/17,"-$46,517.14"
10/6/17,"-$46,544.24"
10/7/17,"-$46,544.24"
10/8/17,"-$46,660.89"
10/9/17,"-$46,660.89"
10/10/17,"-$46,660.89"
10/11/17,"-$46,660.89"
10/12/17,"-$46,660.89"
10/13/17,"-$45,793.66"
10/14/17,"-$45,793.66"
10/15/17,"-$45,793.66"
10/16/17,"-$45,793.66"
10/17/17,"-$45,793.66"
10/18/17,"-$45,793.66"
10/19/17,"-$45,793.66"
10/20/17,"-$45,793.66"
10/21/17,"-$45,793.66"
10/22/17,"-$45,750.36"
10/23/17,"-$45,750.36"
10/24/17,"-$45,750.36"
10/25/17,"-$45,761.13"
10/26/17,"-$45,761.13"
10/27/17,"-$44,893.90"
10/28/17,"-$44,893.90"
10/29/17,"-$44,893.90"
10/30/17,"-$44,900.89"
10/31/17,"-$44,900.89"
11/1/17,"-$44,405.89"
11/2/17,"-$44,405.89"
11/3/17,"-$44,405.89"
11/4/17,"-$44,405.89"
11/5/17,"-$44,405.89"
11/6/17,"-$44,432.99"
11/7/17,"-$44,432.99"
11/8/17,"-$44,548.77"
11/9/17,"-$44,548.77"
11/10/17,"-$43,681.54"
11/11/17,"-$43,681.54"
11/12/17,"-$43,681.54"
11/13/17,"-$43,681.54"
11/14/17,"-$43,681.54"
11/15/17,"-$43,681.54"
11/16/17,"-$43,681.54"
11/17/17,"-$43,681.54"
11/18/17,"-$43,681.54"
11/19/17,"-$43,681.54"
11/20/17,"-$43,681.54"
11/21/17,"-$43,681.54"
11/22/17,"-$43,637.19"
11/23/17,"-$43,637.19"
11/24/17,"-$42,769.96"
11/25/17,"-$42,780.73"
11/26/17,"-$42,780.73"
11/27/17,"-$42,780.73"
11/28/17,"-$42,780.73"
11/29/17,"-$42,780.73"
11/30/17,"-$42,787.72"
12/1/17,"-$42,792.72"
12/2/17,"-$42,792.72"
12/3/17,"-$42,792.72"
12/4/17,"-$42,792.72"
12/5/17,"-$42,792.72"
12/6/17,"-$42,819.82"
12/7/17,"-$42,819.82"
12/8/17,"-$42,067.50"
12/9/17,"-$42,067.50"
12/10/17,"-$42,067.50"
12/11/17,"-$42,067.50"
12/12/17,"-$42,067.50"
12/13/17,"-$42,067.50"
12/14/17,"-$42,067.50"
12/15/17,"-$42,067.50"
12/16/17,"-$42,067.50"
12/17/17,"-$42,067.50"
12/18/17,"-$42,067.50"
12/19/17,"-$42,067.50"
12/20/17,"-$42,067.50"
12/21/17,"-$42,067.50"
12/22/17,"-$41,154.85"
12/23/17,"-$41,154.85"
12/24/17,"-$41,154.85"
12/25/17,"-$41,165.62"
12/26/17,"-$41,165.62"
12/27/17,"-$41,165.62"
12/28/17,"-$41,165.62"
12/29/17,"-$41,165.62"
12/30/17,"-$41,172.61"
12/31/17,"-$41,172.61"
1/1/18,"-$41,177.61"
1/2/18,"-$41,177.61"
1/3/18,"-$41,177.61"
1/4/18,"-$41,177.61"
1/5/18,"-$40,310.38"
1/6/18,"-$40,337.48"
1/7/18,"-$40,337.48"
1/8/18,"-$40,451.51"
1/9/18,"-$40,451.51"
1/10/18,"-$40,451.51"
1/11/18,"-$40,451.51"
1/12/18,"-$40,451.51"
1/13/18,"-$40,451.51"
1/14/18,"-$40,451.51"
1/15/18,"-$40,451.51"
1/16/18,"-$40,451.51"
1/17/18,"-$40,451.51"
1/18/18,"-$40,451.51"
1/19/18,"-$39,584.28"
1/20/18,"-$39,584.28"
1/21/18,"-$39,584.28"
1/22/18,"-$39,537.80"
1/23/18,"-$39,537.80"
1/24/18,"-$39,537.80"
1/25/18,"-$39,548.57"
1/26/18,"-$39,548.57"
1/27/18,"-$39,548.57"
1/28/18,"-$39,548.57"
1/29/18,"-$39,548.57"
1/30/18,"-$39,555.56"
1/31/18,"-$39,555.56"
2/1/18,"-$39,560.56"
2/2/18,"-$38,693.33"
2/3/18,"-$38,693.33"
2/4/18,"-$38,693.33"
2/5/18,"-$38,693.33"
2/6/18,"-$38,720.43"
2/7/18,"-$38,720.43"
2/8/18,"-$38,833.59"
2/9/18,"-$38,833.59"
2/10/18,"-$38,833.59"
2/11/18,"-$38,833.59"
2/12/18,"-$38,833.59"
2/13/18,"-$38,833.59"
2/14/18,"-$38,833.59"
2/15/18,"-$38,833.59"
2/16/18,"-$37,966.36"
2/17/18,"-$37,966.36"
2/18/18,"-$37,966.36"
2/19/18,"-$37,966.36"
2/20/18,"-$37,966.36"
